English_Name,national.Data.source...2012,ocean.Data.source,seabird.Data.source,Survey...population.goals,Primary.Survey.2017.SOBC.original,Primary.Survey.2017.SOBC,Comments_.population.status,Comments_population.goals,Species_ID,Sort_Order,French_Name,Spanish_Name,Scientific_Name,CDN_Status,nationalalt.suburban,nationalalt.shrub,nationalalt.arctic,nationalalt.range.expansion,national.Other.birds,nationalalt.All.birds,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,national.Waterfowl,nationalalt.wetland.birds,nationalalt.Birds.of.Prey,nationalalt.owls,national.diurnal.raptors,national.Aerial.insectivores,national.Flycatchers,national.Swallows.Swifts.Nightjars,national.introduced,national.Canadian.nesting.Seabirds,grassland.native.grassland,grassland.other,seabirds.Pacific,seabirds.Atlantic,seabirds.Arctic,seabirds.alcids,seabirds.nonalcid,shorebirds.longdistance,shorebirds.longdistance.alt,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.forest.crop.specialists,forestm.Canada,forestm.resident.feeder,forestm.shortdistance,forestm.neotropical,forestm.Mex.CAm.US,forestm.MexicoandCentralAmerica,forestm.US,forestm.neotropical.lowland,forestm.south.america,forestm.andes,forestm.mexican.highlands,forestm.neotropical.highland,waterfowl.seaducks,waterfowl.geese.and.swans,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,swans.swans,waterfowl.Inland.water.birds.LD.migrants,waterfowl.divingducks,waterfowl.dabblingducks,waterfowl.Inland.water.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,rapAI.Birds.of.Prey,rapAI.owls,ssm.Forest.birds,ssm.Shrub.and.forest.edge.birds,ssm.Aerial.Insectivores,ssm.Other.water.birds,ssm.Waterfowl,glwaterbird.Colonial.Waterbirds,glakes.Forest.birds,glakes.Grassland.birds,glakes.Shrub.and.forest.edge.birds,glakes.Aerial.Insectivores,glakes.Other.water.birds,glakes.Waterfowl,eboreal.Forest.birds,eboreal.Shrub.and.forest.edge.birds,eboreal.Other.water.birds,eboreal.Waterfowl,wboreal.Forest.birds,wboreal.Shrub.and.forest.edge.birds,wboreal.Other.water.birds,wboreal.waterfowl,prairies.Grassland.birds,prairies.Forest.birds,prairies.Other.water.birds,prairies.Waterfowl,wcoast.Forest.birds,wcoast.Shrub.and.forest.edge.birds,wcoast.Aerial.Insectivores,wcoast.Grassland.birds,wcoast.Other.Waterbirds,wcoast.Waterfowl,wcoast.Pacific.Coast.birds,arctic.Shorebirds,arctic.Landbirds,arctic.Other.water.birds,arctic.Waterfowl,bob.Winter.in.Canada,bob.Winter.in.US,bob.Winter.in.Mexico.Central.America.Caribbean,bob.Winter.in.South.America,bob.Winter.in.North.Atlantic.Arctic,bob.Winter.in.North.Pacific.Arctic,bob.Winter.in.South.Atlantic,bob.Winter.in.South.Pacific
Acadian Flycatcher,no acceptable data,NA,NA,NA,Acadian Flycatcher/Hooded Warbler Recovery Team,no acceptable data for indicator,"No new data from Recovery Team surveys found since 2007, thus it is not possible to determine the current status. Recovery team surveys provide good coverage of potential habitat (>50%) and have high design rating because they are tageted towards ACFL, but only cover period from 1997-2007, so now out of date.  OBBA covers longer time period, but now out of date. No long-term data on trends in Canada (no Canadian data prior to OBBA), so overall the species is considered data defiicient.  NA BBS included for interest",Recovery goal only has population objective (number of pairs). Should we consider this the long-term goal?,ACFL,1221,Moucherolle vert,Papamoscas Verdoso,Empidonax virescens,BRE,,,,,,Included in group,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,Included in group,,,,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,
Alder Flycatcher,BBS,NA,NA,BBS,BBS,BBS,BBS result cover less than half the population but no other data available so MED reliability. Regional differences in trend.,,ALFL,1222,Moucherolle des aulnes,Papamoscas Ailero,Empidonax alnorum,BRE,,,,,,Included in group,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,Included in group,Included in group,,,,Included in group,,,,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,,,,,Included in group,,,,
American Avocet,BBS,NA,NA,BBS,BBS,BBS,BBS results clear and reliable and used as single source. Mig Monitoring does not cover migration area very well. Show BCR 11,,AMAV,443,Avocette d'Amérique,Avoceta Americana,Recurvirostra americana,BRE,,,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,
American Bittern,BBS,NA,NA,BBS,BBS,BBS,"Although MMP methods (and potentially Atlas methods too) are best suited to this secretive (but vocal!) species, they only go back 15-20 years and are restricted to Great Lakes basin and QC, whereas the AMBI population range is across Canada. BBS data apply to all of Canada, go back to 1970 adn are of High reliability.  MMP results are displayed as they contribute to info on recent trends. Final assessment is little change (though small decrease) based on BBS. ",,AMBI,726,Butor d'Amérique,Avetoro Norteño,Botaurus lentiginosus,BRE,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,Included in group,,,,Included in group,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,
American Black Duck,EWS_Combined,NA,NA,EWS_Combined,EWS_Combined,EWS_Combined,NA,NA,ABDU,48,Canard noir,Anade Sombrío,Anas rubripes,BRE,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,Included in group,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,
American Coot,BBS,NA,NA,Western Waterfowl,Western Waterfowl,Western Waterfowl,"The best trend data come from the Waterfowl Breeding Population and Habitat Survey, which suggest an overall large increase but a lot of fluctuations among years (related to water levels - see text); but not all breeding grounds covered by this survey.  BBS also suggests large increase Canada-wide and wide  fluctuations among years. The two together make this assessement highly reliable.",,AMCO,434,Foulque d'Amérique,Gallareta Americana,Fulica americana,BRE,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,Included in group,,,,,,
American Crow,BBS,NA,NA,BBS,BBS,BBS,BBS stands on its own. ,,AMCR,1393,Corneille d'Amérique,Cuervo Norteamericano,Corvus brachyrhynchos,BRE,Included in group,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,
American Dipper,no acceptable data,NA,NA,BBS,BBS,BBS,"Both surveys have low reliabilty but results agree both for Canada and continental. BBS has  low detection rates; likely because dippers are found along rushing streams where high noise levels limit the hearing ability of surveyors, poor coverage and the national trendused more survey-wide data than local data (i.e. local data weight = low) .  CBC will have similar issues. Considering agreement between  the results, I raised reliability to medium.  ",,AMDI,1512,Cincle d'Amérique,Mirlo Acuático Norteamericano,Cinclus mexicanus,BRE,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,
American Golden-Plover,no acceptable data,NA,NA,Shorebird,Shorebird,Shorebird,"Results suggest LD but precision and coverage are Low and results are continental , thus Low reliability even with Rasmussen work.",,AMGP,451,Pluvier bronzé,Chorlo Dorado Americano,Pluvialis dominica,BRE,,,,,,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,
American Goldfinch,BBS,NA,NA,BBS,BBS,BBS,BBS stands on its own. ,,AMGO,1770,Chardonneret jaune,Jilguerito Canario,Spinus tristis,BRE,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,
